logH	logD	time

# ----------------------------------------------------------
#
#   This data set assumes a default Contrast Index (CI) of 0.56.
#   The densities are simply exposure values, multiplied with 0.56:
#
#       y = 0.56 * x
#
#   A plot of this data would show a straight line.
#
# ----------------------------------------------------------

0	0	0
0.100343331887994	0.056192265857277	0
0.200686663775988	0.112384531714553	0
0.301029995663981	0.168576797571829	0
0.401373327551974	0.224769063429105	0
0.50171665943997	0.280961329286383	0
0.602059991327962	0.337153595143659	0
0.702403323215955	0.393345861000935	0
0.802746655103951	0.449538126858213	0
0.903089986991943	0.505730392715488	0
1.00343331887994	0.561922658572766	0
1.10377665076793	0.618114924430041	0
1.20411998265592	0.674307190287315	0
1.30446331454392	0.730499456144595	0
1.40480664643191	0.78669172200187	0
1.50514997831991	0.84288398785915	0
1.60549331020790	0.899076253716424	0
1.70583664209589	0.955268519573698	0
1.80617997398389	1.01146078543098	0
1.90652330587188	1.06765305128825	0
2.00686663775988	1.12384531714553	0
2.10720996964787	1.18003758300281	0
2.20755330153586	1.23622984886008	0
2.30789663342386	1.29242211471736	0
2.40823996531185	1.34861438057464	0
2.50858329719984	1.40480664643191	0
2.60892662908784	1.46099891228919	0
2.70926996097583	1.51719117814646	0
2.80961329286382	1.57338344400374	0
2.90995662475182	1.62957570986102	0
3.01029995663981	1.68576797571829	0
3.11064328852780	1.74196024157557	0
3.21098662041581	1.79815250743285	0
3.31132995230379	1.85434477329012	0
3.41167328419178	1.91053703914740	0
3.51201661607979	1.96672930500468	0
3.61235994796777	2.02292157086195	0
